Index,System Time,Channel,Direction,Frame ID,Data
442,15:20:02.146,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
443,15:20:02.160,ch1,R,0x0152,x| 80 6C 00 00 00 00 00 C0
444,15:20:02.160,ch1,R,0x0282,x| FE A3 2D FE FE 00 91 00
445,15:20:02.171,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
446,15:20:02.171,ch1,R,0x0284,x| 80 03 00 00 00 00 00 00
447,15:20:02.181,ch1,R,0x0152,x| 80 7C 00 00 00 00 00 C0
448,15:20:02.181,ch1,R,0x03d1,x| FF 1F 00 00 00 00 00 00
449,15:20:02.194,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
450,15:20:02.194,ch1,R,0x0152,x| 80 8C 00 00 00 00 00 C0
451,15:20:02.210,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
452,15:20:02.210,ch1,R,0x0282,x| FE B3 2D FE FE 00 91 00
453,15:20:02.222,ch1,R,0x0152,x| 80 9C 00 00 00 00 00 C0
454,15:20:02.222,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
455,15:20:02.238,ch1,R,0x044d,x| 40 02 00 00 00 00 00 00
456,15:20:02.238,ch1,R,0x0152,x| 80 AC 00 00 00 00 00 C0
457,15:20:02.254,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
458,15:20:02.254,ch1,R,0x0152,x| 80 BC 00 00 00 00 00 C0
459,15:20:02.270,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
460,15:20:02.270,ch1,R,0x0284,x| 80 04 00 00 00 00 00 00
461,15:20:02.280,ch1,R,0x0152,x| 80 CC 00 00 00 00 00 C0
462,15:20:02.280,ch1,R,0x0282,x| FE C3 2D FE FE 00 91 00
463,15:20:02.292,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
464,15:20:02.292,ch1,R,0x03d1,x| FF 1F 00 00 00 00 00 00
465,15:20:02.307,ch1,R,0x0152,x| 80 DC 00 00 00 00 00 C0
466,15:20:02.307,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
467,15:20:02.323,ch1,R,0x0152,x| 80 EC 00 00 00 00 00 C0
468,15:20:02.323,ch1,R,0x0440,x| 42 02 00 00 00 00 00 00
469,15:20:02.331,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
470,15:20:02.331,ch1,R,0x0282,x| FE D3 2D FE FE 00 91 00
471,15:20:02.346,ch1,R,0x0152,x| 80 FC 00 00 00 00 00 C0
472,15:20:02.346,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
473,15:20:02.362,ch1,R,0x0152,x| 80 0C 00 00 00 00 00 C0
474,15:20:02.362,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
475,15:20:02.378,ch1,R,0x0284,x| 80 05 00 00 00 00 00 00
476,15:20:02.378,ch1,R,0x0152,x| 80 1C 00 00 00 00 00 C0
477,15:20:02.390,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
478,15:20:02.390,ch1,R,0x0282,x| FE E3 2D FE FE 00 91 00
479,15:20:02.408,ch1,R,0x0152,x| 80 2C 00 00 00 00 00 C0
480,15:20:02.408,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
481,15:20:02.421,ch1,R,0x03d1,x| FF 1F 00 00 00 00 00 00
482,15:20:02.421,ch1,R,0x0152,x| 80 3C 00 00 00 00 00 C0
483,15:20:02.431,ch1,R,0x0442,x| 4D 12 00 00 00 00 00 00
484,15:20:02.431,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
485,15:20:02.446,ch1,R,0x0152,x| 80 4C 00 00 00 00 00 C0
486,15:20:02.446,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
487,15:20:02.459,ch1,R,0x0152,x| 80 5C 00 00 00 00 00 C0
488,15:20:02.459,ch1,R,0x0282,x| FE F3 2D FE FE 00 91 00
489,15:20:02.471,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
490,15:20:02.471,ch1,R,0x0284,x| 80 06 00 00 00 00 00 00
491,15:20:02.483,ch1,R,0x0152,x| 80 6C 00 00 00 00 00 C0
492,15:20:02.483,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
493,15:20:02.497,ch1,R,0x063b,x| 00 00 23 93 00 03 58 FE
494,15:20:02.497,ch1,R,0x0152,x| 80 7C 00 00 00 00 00 C0
495,15:20:02.510,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
496,15:20:02.510,ch1,R,0x0282,x| FE 03 2D FE FE 00 91 00
497,15:20:02.522,ch1,R,0x0152,x| 80 8C 00 00 00 00 00 C0
498,15:20:02.522,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
499,15:20:02.534,ch1,R,0x044d,x| 40 02 00 00 00 00 00 00
500,15:20:02.534,ch1,R,0x03d1,x| FF 1F 00 00 00 00 00 00
501,15:20:02.550,ch1,R,0x0152,x| 80 9C 00 00 00 00 00 C0
502,15:20:02.550,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
503,15:20:02.563,ch1,R,0x0152,x| 80 AC 00 00 00 00 00 C0
504,15:20:02.563,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
505,15:20:02.573,ch1,R,0x0284,x| 80 07 00 00 00 00 00 00
506,15:20:02.573,ch1,R,0x0152,x| 80 BC 00 00 00 00 00 C0
507,15:20:02.589,ch1,R,0x0282,x| FE 13 2D FE FE 00 91 00
508,15:20:02.589,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
509,15:20:02.605,ch1,R,0x0152,x| 80 CC 00 00 00 00 00 C0
510,15:20:02.605,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
511,15:20:02.621,ch1,R,0x0152,x| 80 DC 00 00 00 00 00 C0
512,15:20:02.628,ch1,R,0x0440,x| 42 02 00 00 00 00 00 00
513,15:20:02.628,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
514,15:20:02.641,ch1,R,0x0282,x| FE 23 2D FE FE 00 91 00
515,15:20:02.641,ch1,R,0x0152,x| 80 EC 00 00 00 00 00 C0
516,15:20:02.653,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
517,15:20:02.653,ch1,R,0x03d1,x| FF 1F 00 00 00 00 00 00
518,15:20:02.667,ch1,R,0x0152,x| 80 FC 00 00 00 00 00 C0
519,15:20:02.667,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
520,15:20:02.667,ch1,R,0x0284,x| 80 08 00 00 00 00 00 00
521,15:20:02.683,ch1,R,0x0152,x| 80 0C 00 00 00 00 00 C0
