Index,System Time,Channel,Direction,Frame ID,Data
144,4:13:59.734,ch1,R,0x03d1,x| 0C 11 00 00 00 00 00 00
145,4:13:59.734,ch1,R,0x0018,x| 00 2A 70 0A 00 00 00 C4
146,4:13:59.734,ch1,R,0x0370,x| 00 00 00 00 00 04 00 00
147,4:13:59.734,ch1,R,0x0152,x| F0 CC 00 00 00 00 08 80
148,4:13:59.734,ch1,R,0x0140,x| 00 02 D9 42 00 00 07 21
149,4:13:59.734,ch1,R,0x0141,x| 84 26 B9 27 D1 82 A7 00
150,4:13:59.734,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
151,4:13:59.735,ch1,R,0x04c1,x| 01 00 00 00 00 00 00 00
152,4:13:59.735,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
153,4:13:59.735,ch1,R,0x0018,x| 00 2A 70 0C 00 00 00 C6
154,4:13:59.735,ch1,R,0x0280,x| 02 09 00 00 00 00 00 00
155,4:13:59.735,ch1,R,0x0140,x| 00 03 D9 42 00 00 07 21
156,4:13:59.735,ch1,R,0x0141,x| 84 26 B9 27 D1 82 A7 00
157,4:13:59.735,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
158,4:13:59.735,ch1,R,0x0144,x| C0 00 48 08 05 A4 A0 00
159,4:13:59.737,ch1,R,0x00d0,x| D2 FF 00 00 00 00 01 00
160,4:13:59.737,ch1,R,0x00d1,x| 00 00 00 00
161,4:13:59.737,ch1,R,0x00d2,x| 00 00 FF FF 00 00 00 00
162,4:13:59.737,ch1,R,0x00d3,x| 00 06 C0 0F 00 00 CD
163,4:13:59.949,ch1,R,0x0141,x| 84 26 9B 27 D5 82 A7 00
164,4:13:59.949,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
165,4:13:59.949,ch1,R,0x0144,x| C0 00 48 08 05 A4 A0 00
166,4:13:59.949,ch1,R,0x00d0,x| D2 FF 01 00 00 00 00 00
167,4:13:59.949,ch1,R,0x00d1,x| 00 00 00 00
168,4:13:59.949,ch1,R,0x00d2,x| 00 00 FF FF 00 00 00 00
169,4:13:59.949,ch1,R,0x00d3,x| 00 06 C0 0F 00 00 D5
170,4:13:59.949,ch1,R,0x00d4,x| 00 00 00 00 00 00 00 00
171,4:13:59.949,ch1,R,0x0018,x| 00 2A 70 0E 00 00 00 C8
172,4:13:59.949,ch1,R,0x0152,x| F0 5C 00 00 00 00 08 80
173,4:13:59.949,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
174,4:13:59.949,ch1,R,0x0140,x| 00 04 DA 42 00 00 07 21
175,4:13:59.949,ch1,R,0x0141,x| 84 26 9B 27 D5 82 A7 00
176,4:13:59.949,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
177,4:13:59.949,ch1,R,0x0018,x| 00 2A 70 00 00 00 00 BA
178,4:13:59.949,ch1,R,0x0280,x| 02 02 00 00 00 00 00 00
179,4:13:59.949,ch1,R,0x06e2,x| A2 00 CC FE FE FE FE FE
180,4:13:59.949,ch1,R,0x0140,x| 00 05 DA 42 00 00 06 21
181,4:13:59.949,ch1,R,0x0141,x| 84 26 9B 27 D5 82 A7 00
182,4:13:59.949,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
183,4:13:59.949,ch1,R,0x0144,x| C0 00 48 08 05 A4 A0 00
184,4:13:59.949,ch1,R,0x0360,x| 14 01 81 81 37 00 01 00
185,4:13:59.949,ch1,R,0x0361,x| 00 29 00 DB 05 00 86 3F
186,4:13:59.949,ch1,R,0x00d0,x| D2 FF 01 00 00 00 01 00
187,4:13:59.949,ch1,R,0x00d1,x| 00 00 00 00
188,4:13:59.949,ch1,R,0x00d2,x| 00 00 FF FF 00 00 00 00
189,4:13:59.949,ch1,R,0x00d3,x| 00 06 C0 0F 00 00 D6
190,4:13:59.949,ch1,R,0x00d4,x| 00 00 00 00 00 00 00 00
191,4:13:59.949,ch1,R,0x0018,x| 00 2A 70 02 00 00 00 BC
192,4:13:59.949,ch1,R,0x0370,x| 00 00 00 00 00 08 00 00
193,4:13:59.949,ch1,R,0x0152,x| F0 6C 00 00 00 00 08 80
194,4:13:59.949,ch1,R,0x0140,x| 00 06 DB 42 00 00 07 21
195,4:13:59.949,ch1,R,0x0141,x| 84 26 9B 27 D5 82 A7 00
196,4:13:59.949,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
197,4:13:59.949,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
198,4:13:59.949,ch1,R,0x0018,x| 00 2A 70 04 00 00 00 BE
199,4:13:59.949,ch1,R,0x0280,x| 02 03 00 00 00 00 00 00
200,4:13:59.949,ch1,R,0x0140,x| 00 07 DB 42 00 00 06 21
201,4:13:59.949,ch1,R,0x0141,x| 84 26 93 27 D5 82 A7 00
202,4:13:59.949,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
203,4:13:59.949,ch1,R,0x0144,x| C0 00 48 08 05 A4 A0 00
204,4:13:59.949,ch1,R,0x00d0,x| D2 FF 01 00 00 00 01 00
205,4:13:59.949,ch1,R,0x00d1,x| 00 00 00 00
206,4:13:59.949,ch1,R,0x00d2,x| 00 00 FF FF 00 00 00 00
207,4:13:59.949,ch1,R,0x00d3,x| 00 06 C0 0F 00 00 D7
208,4:13:59.965,ch1,R,0x00d4,x| 00 00 00 00 00 00 00 00
209,4:13:59.965,ch1,R,0x0284,x| C0 08 00 02 00 00 00 00
210,4:13:59.965,ch1,R,0x0442,x| 4D 02 00 00 00 00 00 00
211,4:13:59.965,ch1,R,0x0282,x| D2 A1 FA 89 99 00 91 00
212,4:13:59.965,ch1,R,0x0018,x| 00 2A 70 06 00 00 00 C0
213,4:13:59.965,ch1,R,0x0152,x| F0 7C 00 00 00 00 08 80
214,4:13:59.965,ch1,R,0x0140,x| 00 08 DB 42 00 00 06 21
215,4:13:59.965,ch1,R,0x0141,x| 84 26 93 27 D5 82 A7 00
216,4:13:59.965,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
217,4:13:59.965,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
218,4:13:59.965,ch1,R,0x0018,x| 00 2A 70 08 00 00 00 C2
219,4:13:59.965,ch1,R,0x0280,x| 02 04 00 00 00 00 00 00
220,4:13:59.965,ch1,R,0x0372,x| 00 90 00 00 00 00 00 00
221,4:13:59.965,ch1,R,0x0140,x| 00 09 DB 42 00 00 06 21
222,4:13:59.965,ch1,R,0x0141,x| 84 26 93 27 D6 82 A7 00
223,4:13:59.965,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
224,4:13:59.965,ch1,R,0x0144,x| C0 00 48 08 05 A4 A0 00
225,4:13:59.965,ch1,R,0x03d1,x| 0C 11 00 00 00 00 00 00
226,4:13:59.965,ch1,R,0x00d0,x| D2 FF 00 00 00 00 01 FF
227,4:13:59.965,ch1,R,0x00d1,x| 00 00 00 00
228,4:13:59.965,ch1,R,0x00d2,x| 00 00 FF FF 00 00 00 00
229,4:13:59.965,ch1,R,0x00d3,x| 00 06 C0 0F 00 00 D8
230,4:13:59.965,ch1,R,0x00d4,x| 00 00 00 00 00 00 00 00
231,4:13:59.965,ch1,R,0x0018,x| 00 2A 70 0A 00 00 00 C4
232,4:13:59.965,ch1,R,0x0152,x| F0 8C 00 00 00 00 08 80
233,4:13:59.965,ch1,R,0x0140,x| 00 0A DC 42 00 00 07 21
234,4:13:59.965,ch1,R,0x0141,x| 84 26 93 27 D6 82 A7 00
235,4:13:59.965,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
236,4:13:59.965,ch1,R,0x0360,x| FA 00 81 81 34 00 01 00
237,4:13:59.970,ch1,R,0x0361,x| 00 29 00 DB 06 D0 79 3F
238,4:13:59.970,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
239,4:13:59.970,ch1,R,0x0018,x| 00 2A 70 0C 00 00 00 C6
240,4:13:59.970,ch1,R,0x0280,x| 02 05 00 00 00 00 00 00
241,4:13:59.981,ch1,R,0x0370,x| 00 00 00 00 00 09 00 00
242,4:14:00.012,ch1,R,0x0280,x| 02 0D 00 00 00 00 00 00
243,4:14:00.203,ch1,R,0x0140,x| 00 0B E2 42 00 00 07 21
244,4:14:00.203,ch1,R,0x0141,x| 84 26 7A 27 D8 82 A7 00
245,4:14:00.203,ch1,R,0x0142,x| 84 26 00 00 00 00 00 00
